City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp
Tatum,16092.13,202,54605.97,680,70698.1,882,August,August 2022,2022,2022-12-02-122043
Mora,11148.5,282,19243.5,649,30392.0,931,August,August 2022,2022,2022-12-02-122043
Rio Rancho,805783.87,13926,749385.56,16483,1555169.43,30409,August,August 2022,2022,2022-12-02-122043
Albuquerque,6638657.99,129659,7990078.34,199684,14628736.33,329343,August,August 2022,2022,2022-12-02-122043
Madrid,10827.54,226,43530.12,956,54357.66,1182,August,August 2022,2022,2022-12-02-122043
Lovington,3224.64,89,5375.24,141,8599.88,230,August,August 2022,2022,2022-12-02-122043
Estancia,5517.41,151,18165.31,550,23682.72,701,August,August 2022,2022,2022-12-02-122043
Las Cruces,1486373.89,31025,1822393.37,41688,3308767.27,72713,August,August 2022,2022,2022-12-02-122043
Moriarty,16130.49,393,54409.63,1408,70540.12,1801,August,August 2022,2022,2022-12-02-122043
Logan,2941.79,79,15701.65,324,18643.44,403,August,August 2022,2022,2022-12-02-122043
Carlsbad,370620.92,7165,794310.71,14337,1164931.63,21502,August,August 2022,2022,2022-12-02-122043
Las Vegas,206085.2,4869,220977.82,5923,427063.02,10792,August,August 2022,2022,2022-12-02-122043
Placitas,33107.77,576,19989.4,518,53097.17,1094,August,August 2022,2022,2022-12-02-122043
Fort Sumner,11609.48,280,26468.25,651,38077.73,931,August,August 2022,2022,2022-12-02-122043
Clovis,436190.63,10068,674106.32,11861,1110296.95,21929,August,August 2022,2022,2022-12-02-122043
Gallup,122636.5,2848,464439.87,14529,587076.37,17377,August,August 2022,2022,2022-12-02-122043
Ruidoso,336641.68,6343,741639.67,13390,1078281.35,19733,August,August 2022,2022,2022-12-02-122043
Chama,1859.22,44,15176.42,370,17035.64,414,August,August 2022,2022,2022-12-02-122043
Aztec,10310.08,210,51318.73,1198,61628.81,1408,August,August 2022,2022,2022-12-02-122043
Tucumcari,63823.65,1572,292927.47,4627,356751.12,6199,August,August 2022,2022,2022-12-02-122043
Chaparral,43911.01,928,262622.37,5745,306533.38,6673,August,August 2022,2022,2022-12-02-122043
Socorro,101909.12,2129,108160.33,2837,210069.45,4966,August,August 2022,2022,2022-12-02-122043
Raton,8773.21,162,78709.28,1388,87482.49,1550,August,August 2022,2022,2022-12-02-122043
Grants,159046.8,3424,183365.25,4545,342412.05,7969,August,August 2022,2022,2022-12-02-122043
Clayton,16134.48,388,154018.51,2390,170152.99,2778,August,August 2022,2022,2022-12-02-122043
Anthony,60111.42,1231,442017.01,9275,502128.43,10506,August,August 2022,2022,2022-12-02-122043
Sunland Park,178846.03,3384,1348342.03,28464,1527188.06,31848,August,August 2022,2022,2022-12-02-122043
Alamogordo,543689.69,11649,436880.15,11168,980569.84,22817,August,August 2022,2022,2022-12-02-122043
Belen,93976.49,2012,144447.2,3625,238423.69,5637,August,August 2022,2022,2022-12-02-122043
Eagle Nest,6332.36,119,43943.15,809,50275.51,928,August,August 2022,2022,2022-12-02-122043
Peralta,5525.3,180,17282.88,572,22808.18,752,August,August 2022,2022,2022-12-02-122043
Los Lunas,347386.9,7296,391401.89,9955,738788.79,17251,August,August 2022,2022,2022-12-02-122043
Corrales,45425.4,635,46370.0,849,91795.4,1484,August,August 2022,2022,2022-12-02-122043
Los Alamos,25105.44,369,47937.4,995,73042.84,1364,August,August 2022,2022,2022-12-02-122043
Santa Fe,1612245.91,29803,1927480.47,43569,3539726.38,73372,August,August 2022,2022,2022-12-02-122043
Espanola,244149.8,5574,304511.92,8762,548661.72,14336,August,August 2022,2022,2022-12-02-122043
Deming,100982.61,2315,151863.7,4564,252846.31,6879,August,August 2022,2022,2022-12-02-122043
Texico,6320.0,123,71685.99,1003,78005.99,1126,August,August 2022,2022,2022-12-02-122043
Questa,4957.95,109,9207.84,219,14165.78,328,August,August 2022,2022,2022-12-02-122043
Alto,11963.08,247,56392.89,1182,68355.97,1429,August,August 2022,2022,2022-12-02-122043
Cloudcroft,14982.29,271,93957.52,1599,108939.81,1870,August,August 2022,2022,2022-12-02-122043
Silver City,225881.28,5196,195509.51,5317,421390.79,10513,August,August 2022,2022,2022-12-02-122043
Tularosa,34617.01,879,30482.33,967,65099.34,1846,August,August 2022,2022,2022-12-02-122043
Edgewood,104494.82,2027,162347.83,4062,266842.65,6089,August,August 2022,2022,2022-12-02-122043
Truth Or Consequences,207593.56,4944,163076.55,4063,370670.11,9007,August,August 2022,2022,2022-12-02-122043
Taos,175879.67,3118,410625.33,8476,586505.0,11594,August,August 2022,2022,2022-12-02-122043
Hobbs,363407.65,6265,1295118.07,16502,1658525.72,22767,August,August 2022,2022,2022-12-02-122043
Cedar Crest,38053.25,793,51766.69,1310,89819.94,2103,August,August 2022,2022,2022-12-02-122043
Las Cruces,1348149.64,28556,1667544.88,40275,3015694.52,68831,September,September 2022,2022,2022-12-02-122043
Bernalillo,172307.38,3658,319113.29,8729,491420.67,12387,September,September 2022,2022,2022-12-02-122043
Las Vegas,201906.11,4852,241076.99,6595,442983.1,11447,September,September 2022,2022,2022-12-02-122043
White Rock,4768.38,119,13370.72,418,18139.1,537,September,September 2022,2022,2022-12-02-122043
Chama,1972.1,37,23145.7,503,25117.8,540,September,September 2022,2022,2022-12-02-122043
Hobbs,338013.22,5940,1390524.42,17439,1728537.64,23379,September,September 2022,2022,2022-12-02-122043
Alto,11489.43,233,50009.14,1099,61498.57,1332,September,September 2022,2022,2022-12-02-122043
Tatum,20326.53,237,73718.17,779,94044.7,1016,September,September 2022,2022,2022-12-02-122043
Alamogordo,488603.95,10274,431101.83,10586,919705.78,20860,September,September 2022,2022,2022-12-02-122043
Socorro,82709.35,1796,97020.96,2772,179730.31,4568,September,September 2022,2022,2022-12-02-122043
Grants,141069.38,3062,162430.76,4263,303500.14,7325,September,September 2022,2022,2022-12-02-122043
Edgewood,95321.1,1908,153681.47,3945,249002.57,5853,September,September 2022,2022,2022-12-02-122043
Kirtland,404.2,17,5587.16,222,5991.36,239,September,September 2022,2022,2022-12-02-122043
Moriarty,23704.98,500,61650.72,1637,85355.7,2137,September,September 2022,2022,2022-12-02-122043
Tularosa,31628.46,858,29108.65,925,60737.11,1783,September,September 2022,2022,2022-12-02-122043
Cedar Crest,35572.5,723,48975.25,1294,84547.75,2017,September,September 2022,2022,2022-12-02-122043
Corrales,35320.8,542,41747.0,849,77067.8,1391,September,September 2022,2022,2022-12-02-122043
Clovis,420853.03,9739,703361.78,11992,1124214.81,21731,September,September 2022,2022,2022-12-02-122043
Aztec,7757.81,156,63332.24,1476,71090.05,1632,September,September 2022,2022,2022-12-02-122043
Los Ranchos,3316.71,91,16031.8,377,19348.51,468,September,September 2022,2022,2022-12-02-122043
Albuquerque,6233615.75,121756,7895816.88,200700,14129432.63,322456,September,September 2022,2022,2022-12-02-122043
Ruidoso,332519.21,6184,632208.48,12365,964727.69,18549,September,September 2022,2022,2022-12-02-122043
Cuba,0.0,0,45.99,1,45.99,1,September,September 2022,2022,2022-12-02-122043
Tucumcari,63283.88,1506,305929.3,4627,369213.18,6133,September,September 2022,2022,2022-12-02-122043
Madrid,9443.39,210,45851.47,1055,55294.86,1265,September,September 2022,2022,2022-12-02-122043
Clayton,12925.45,340,160957.67,2403,173883.12,2743,September,September 2022,2022,2022-12-02-122043
Gallup,126672.24,2843,500405.61,14844,627077.85,17687,September,September 2022,2022,2022-12-02-122043
Los Alamos,28734.68,401,50212.78,1001,78947.46,1402,September,September 2022,2022,2022-12-02-122043
Sunland Park,183145.32,3334,1368464.8,28494,1551610.12,31828,September,September 2022,2022,2022-12-02-122043
Carlsbad,339044.13,6786,817499.22,14756,1156543.35,21542,September,September 2022,2022,2022-12-02-122043
Deming,136643.23,3196,218212.23,6505,354855.46,9701,September,September 2022,2022,2022-12-02-122043
Taos,158487.47,2886,402288.01,8852,560775.48,11738,September,September 2022,2022,2022-12-02-122043
Lovington,11263.3,249,23769.09,575,35032.39,824,September,September 2022,2022,2022-12-02-122043
Placitas,25614.05,454,16594.56,465,42208.61,919,September,September 2022,2022,2022-12-02-122043
Peralta,17424.5,543,28969.24,961,46393.74,1504,September,September 2022,2022,2022-12-02-122043
Silver City,183226.24,4215,177719.57,4873,360945.81,9088,September,September 2022,2022,2022-12-02-122043
Eagle Nest,6327.81,124,40369.74,758,46697.55,882,September,September 2022,2022,2022-12-02-122043
Los Lunas,322256.9,6607,375251.97,9402,697508.87,16009,September,September 2022,2022,2022-12-02-122043
Raton,8844.86,156,78756.91,1344,87601.77,1500,September,September 2022,2022,2022-12-02-122043
Farmington,193079.74,3985,658121.81,17103,851201.55,21088,September,September 2022,2022,2022-12-02-122043
Portales,178727.01,4720,135235.74,3482,313962.75,8202,September,September 2022,2022,2022-12-02-122043
Bosque Farms,2555.38,94,3285.0,120,5840.38,214,September,September 2022,2022,2022-12-02-122043
Santa Fe,1470864.28,27335,1854688.92,42500,3325553.2,69835,September,September 2022,2022,2022-12-02-122043
