City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp,border
Espanola,283213.96,0,292654.36,0,575868.32,0,June,June 2022,2022,2022-11-04-145018,
Las Cruces,1458423.92,0,1665856.0,0,3124279.92,0,June,June 2022,2022,2022-11-04-145018,Texas
Farmington,224310.3,0,471178.12,0,695488.42,0,June,June 2022,2022,2022-11-04-145018,
Hobbs,389477.52,0,1208011.22,0,1597488.74,0,June,June 2022,2022,2022-11-04-145018,Texas
Sunland Park,199698.46,0,1286670.34,0,1486368.8,0,June,June 2022,2022,2022-11-04-145018,Texas
Moriarty,0.0,0,186.7,0,186.7,0,June,June 2022,2022,2022-11-04-145018,
Texico,5245.0,0,63266.91,0,68511.91,0,June,June 2022,2022,2022-11-04-145018,Texas
Cedar Crest,40232.75,0,47030.37,0,87263.12,0,June,June 2022,2022,2022-11-04-145018,
Logan,0.0,0,5.0,0,5.0,0,June,June 2022,2022,2022-11-04-145018,Texas
Carlsbad,362535.09,0,741409.53,0,1103944.62,0,June,June 2022,2022,2022-11-04-145018,Texas
Silver City,226235.97,0,161403.41,0,387639.38,0,June,June 2022,2022,2022-11-04-145018,
Ruidoso,342937.8,0,621860.53,0,964798.34,0,June,June 2022,2022,2022-11-04-145018,
Alto,12107.1,0,45029.38,0,57136.48,0,June,June 2022,2022,2022-11-04-145018,
Roswell,538346.0,0,347353.27,0,885699.27,0,June,June 2022,2022,2022-11-04-145018,Texas
Albuquerque,6670732.25,0,6978682.78,0,13649415.02,0,June,June 2022,2022,2022-11-04-145018,
Raton,8491.14,0,72241.73,0,80732.87,0,June,June 2022,2022,2022-11-04-145018,
Edgewood,112293.07,0,190139.34,0,302432.41,0,June,June 2022,2022,2022-11-04-145018,
Gallup,137264.21,0,462250.07,0,599514.28,0,June,June 2022,2022,2022-11-04-145018,
Estancia,4544.95,0,15417.99,0,19962.94,0,June,June 2022,2022,2022-11-04-145018,
Placitas,38692.3,0,21615.6,0,60307.9,0,June,June 2022,2022,2022-11-04-145018,
Portales,198968.86,0,126625.82,0,325594.68,0,June,June 2022,2022,2022-11-04-145018,Texas
Tularosa,33134.86,0,34788.56,0,67923.42,0,June,June 2022,2022,2022-11-04-145018,
Tucumcari,61730.64,0,249428.97,0,311159.61,0,June,June 2022,2022,2022-11-04-145018,
Madrid,5590.82,0,29338.58,0,34929.4,0,June,June 2022,2022,2022-11-04-145018,
Bernalillo,179951.22,0,273210.17,0,453161.39,0,June,June 2022,2022,2022-11-04-145018,
Los Lunas,369351.45,0,380639.98,0,749991.43,0,July,July 2022,2022,2022-11-04-145018,
Chama,367.3,0,3980.57,0,4347.87,0,July,July 2022,2022,2022-11-04-145018,
Aztec,9702.94,0,57327.26,0,67030.2,0,July,July 2022,2022,2022-11-04-145018,
Socorro,99578.72,0,103775.66,0,203354.37,0,July,July 2022,2022,2022-11-04-145018,
Tucumcari,55002.8,0,296775.07,0,351777.87,0,July,July 2022,2022,2022-11-04-145018,
Texico,4567.0,0,68046.78,0,72613.78,0,July,July 2022,2022,2022-11-04-145018,Texas
Rio Rancho,873533.24,0,742207.56,0,1615740.8,0,July,July 2022,2022,2022-11-04-145018,
Portales,201548.02,0,134824.88,0,336372.9,0,July,July 2022,2022,2022-11-04-145018,Texas
Taos,175385.98,0,434596.92,0,609982.9,0,July,July 2022,2022,2022-11-04-145018,
Gallup,140732.06,0,477184.82,0,617916.88,0,July,July 2022,2022,2022-11-04-145018,
Ruidoso,354845.49,0,831991.72,0,1186837.21,0,July,July 2022,2022,2022-11-04-145018,
Carlsbad,358088.22,0,788062.79,0,1146151.01,0,July,July 2022,2022,2022-11-04-145018,Texas
Las Cruces,1501259.89,0,1796706.77,0,3297966.66,0,July,July 2022,2022,2022-11-04-145018,Texas
Madrid,8753.58,0,29696.93,0,38450.51,0,July,July 2022,2022,2022-11-04-145018,
Deming,93339.58,0,153521.15,0,246860.73,0,July,July 2022,2022,2022-11-04-145018,
Albuquerque,6839416.89,0,7604893.65,0,14444310.54,0,July,July 2022,2022,2022-11-04-145018,
