SalesLicenseeId,Licensee,Address,City,State,Zip,Lat,Long,TotalMedicalSales,TotalAdultUseSales,TotalSalesAll,acquired_datestamp
64b282cb-d964-4ff1-aa76-50300674ac80,"Carolinas Choice, Llc - Copper Ave Retail",13600 Copper Ave NE,ALBUQUERQUE,NM,87123,35.07869,-106.49779,28963.63,89635.1,118598.73,2023-02-02-093117
3184cccd-566c-4c86-8a14-c20bbd25eaf5,Carver Family Farm- Retail Micro, 8917 Adams ST NE,ALBUQUERQUE,NM,87113,35.083681,-106.594187,307283.32,284413.35,591696.67,2023-02-02-093117
0ff27c18-9e99-4c0f-baef-e1fbd4a26097,Carver Family Farm- Retail Micro,8917 Adams ST NE,ALBUQUERQUE,NM,87113,35.18765,-106.59498,308041.97,362947.23,670989.2,2023-02-02-093117
00ea1b79-da56-4f06-b25a-703e0e7c3797,Cave City Cannabis Co Llp - Church St Retail,108 E Church St,CARLSBAD,NM,88220,32.42869,-104.2256,130230.44,269428.56,399659.0,2023-02-02-093117
023080d7-ff5a-45c6-9df7-02383b046f65,"Ccc Holdings, Llc","102 Mexican Avenue, Unit 420",CLOUDCROFT,NM,88317,32.95962,-105.74347,55348.5,323771.71,379120.21,2023-02-02-093117
21d303d0-6b2f-437f-be07-d5bedc2b160e,Cg Corrigan Dispensary - Albuquerque,6614 Gulton Ct. NE,ALBUQUERQUE,NM,87109,35.15341,-106.59908,645703.44,480018.7,1125722.14,2023-02-02-093117
10762167-2775-4df7-821f-6061dd329ddf,Cg Corrigan Dispensary - Placitas,"30 E Frontage Road, Suite D",PLACITAS,NM,87403,34.15497,-106.9164,299168.05,183397.44,482565.49,2023-02-02-093117
27c5930a-a0f7-4101-bfd9-53eb5948206f,Chadcor Holdings Nm- Retail," 2240 E Lohman Ave., Unit 1",LAS CRUCES,NM,88001,32.31232,-106.75266,201036.42,366651.57,567687.99,2023-02-02-093117
5e3e84e4-330a-4564-b67e-c71651992165,Chillax Glass - Sudderth Rd Retail,200 Sudderth Rd Unit A  B,RUIDOSO,NM,88345,33.32325,-105.63107,29855.57,88597.21,118452.78,2023-02-02-093117
02a0b7be-c591-4607-972e-a72b778f7643,Chronic Kings Llc - Lomas Blvd Retail,400 Lomas Blvd NE,ALBUQUERQUE,NM,87102,35.09048,-106.6454,81723.62,534028.29,615751.92,2023-02-02-093117
1f6cef58-445d-4623-9598-84df9939b548,Cinder New Mexico Llc - 3Rd St Abq Retail,800 3rd St NW,ALBUQUERQUE,NM,87102,35.092916,-106.648801,66310.44,180654.17,246964.61,2023-02-02-093117
0d156772-9a75-44f2-a659-dfd3be005ed0,Cloud 9 Zendustries,5200 Constitution Avenue NE,ALBUQUERQUE,NM,87110,35.09444,-106.58731,5722.44,55004.75,60727.19,2023-02-02-093117
01e8e862-f487-4478-af81-0540b1e0e372,Cmc Cannabis Dispensary Llc/ Retail W Historic Hwy 66,611 W Historic HWY 66,GALLUP,NM,87301,35.52608,-108.74848,23765.16,0.0,23765.16,2023-02-02-093117
00af8b9f-2e94-450b-8db1-8dc6d0519fa5,Compassionate Distributors Alamogordo,2617 N. White Sands Blvd. Ste. D,ALAMOGORDO,NM,88310,32.92334,-105.96109,443471.26,415172.57,858643.83,2023-02-02-093117
03b3eebb-c2c4-4c65-9a25-2737b4a044a3,Compassionate Distributors Dispensary - Roswell,117 West Walnut,ROSWELL,NM,88203,33.39214,-104.52373,402350.55,325879.95,728230.49,2023-02-02-093117
0356f844-66cf-4769-b834-f1a17c9e8e10,Compassionate Distributors Dispensary - Ruidoso,1100 Sudderth Dr.,RUIDOSO,NM,88345,33.3255,-105.65858,336146.75,497349.89,833496.64,2023-02-02-093117
2c1470d4-1068-4c21-aa16-be83d76b9e24,Compassionate Distributors Dispensary - Ruidoso,1216 Mechem Dr.,RUIDOSO,NM,88345,33.342463,-105.674117,50224.21,712.0,50936.21,2023-02-02-093117
0141dc26-f2ab-466a-96ab-408f886cf381,Compassionate Distributors Dispensary-Carlsbad,1704 S. Canal Street,CARLSBAD,NM,88220,32.38989,-104.218898,347359.4,714409.22,1061768.62,2023-02-02-093117
102c1643-ad81-4696-b666-4eaf81543d8f,Compassionate Distributors Hobbs,1822 S. Dal Paso,HOBBS,NM,88240,32.6824,-103.1269,159024.55,1125249.43,1284273.98,2023-02-02-093117
0732f597-4264-4ed2-afa2-c00947115fb3,Compassionate Distributors Inc,1321 N Pile St,CLOVIS,NM,88101,34.419312,-103.20401,228997.12,246326.57,475323.69,2023-02-02-093117
158e8d04-e1c9-4db1-8c79-4052f36aba3c,Compassionate Distributors Incorporated,338 Paseo Del Pueblo Sur Unit 2,TAOS,NM,87571,36.407249,-105.573066,102429.54,215072.34,317501.88,2023-02-02-093117
fd5e2bbd-49e4-4cd7-9053-22d8d3ee353c,Compassionate Distributors Incorporated,1925 Appaloosa Ste 4-5,SUNLAND PARK,NM,88063,31.796496,-106.579989,1202.0,0.0,1202.0,2023-02-02-093117
36b11534-57ff-429d-901a-f14d71c84b34,Compassionate Distributors Incorporated,401 Anthony Dr,ANTHONY,NM,88021,32.00367,-106.60652,47605.56,138167.13,185772.69,2023-02-02-093117
44e83b5f-03ee-4300-b486-ee212651fd8d,Compassionate Distributors Incorporated - Don Diego Retail,713 Don Diego Ave,SANTA FE,NM,87505,35.671007,-105.949429,83895.73,141828.23,225723.96,2023-02-02-093117
2752fc90-8008-491c-b5e5-602f90c5eb9e,Compassionate Distributors Incorporated/ Retail 2Nd Street Nw,1100 2nd Street NW,ALBUQUERQUE,NM,87102,35.09385,-106.64729,17108.25,23382.55,40490.8,2023-02-02-093117
8845dc6b-7de3-4131-a66d-c5c1db23a26d,Compassionate Distributors Incorporated/ Retail Lomas Blvd Nw,1520 Lomas Blvd NW,ALBUQUERQUE,NM,87102,35.09052,-106.62624,5581.6,8045.69,13627.29,2023-02-02-093117
309b7d9b-d626-4fdd-8032-8ae8c0146d4b,Compassionate Distributors Las Cruces,609 E Amador Ave,LAS CRUCES,NM,88011,32.30958,-106.763195,346781.78,343042.33,689824.11,2023-02-02-093117
7543d27f-dafc-4094-b038-ffcc30b092a8,Compassionate Distributors Oso Cannabis Retail,17839-A US 84/285,SANTA FE,NM,87056,35.86753,-106.00331,120.0,0.0,120.0,2023-02-02-093117
09648217-e47d-4dbf-bad1-7d61c5568917,Compassionate Distributors Portales,1429 S. Avenue D,PORTALES,NM,88130,34.17623,-103.33456,246149.33,190650.79,436800.12,2023-02-02-093117
16d4d5c5-57ed-431f-9a53-ed6e669fcf51,Corrales Hemporium Llc/ Retail Corrales Road,4484 Corrales Road,CORRALES,NM,87048,35.22469,-106.61432,3190.45,8344.21,11534.66,2023-02-02-093117
05b5eb35-d6f4-45d1-8bfc-a42a54f7e106,"Cowboy Verde Llc - Mabry Dr, Clovis Retail",1605 Mabry Dr,CLOVIS,NM,88101,34.395166,-103.160806,78747.41,797273.86,876021.27,2023-02-02-093117
208d16ff-0823-4489-99d2-a94196c5626f,Cowboy Verde Llc/ Retail S Main,211 S Main,BELEN,NM,87002,34.6596,-106.77777,13253.73,39352.34,52606.05,2023-02-02-093117
0fae36c7-6b41-47f5-b0a3-a1cfdd8946d7,Cowboy Verde Llc/ Retail Us-54,124 US-54,LOGAN,NM,88426,35.373634,-103.406929,11465.97,48016.44,59482.41,2023-02-02-093117
2d44a126-7474-4c47-b771-b1da2e8b3fe2,Cranium Extracts Llc,"4501 4th Street NW, Suite E",ALBUQUERQUE,NM,87107,35.12891,-106.64335,52684.91,115659.0,168343.91,2023-02-02-093117
67dce53b-d0e3-4798-a051-e966ba6e03bd,Cuchillo Greens1 Llc,60 Willow Springs Rd,TRUTH OR CONSEQUENCES,NM,87901,33.27792,-107.18485,6630.63,11836.24,18466.87,2023-02-02-093117
0652f6e5-26c0-4d45-96ad-cc930f4327b4,Deep Sky Cannabis Llc - Luana St Retail,1320 Luana St,SANTA FE,NM,87505,35.661898,-105.983216,180624.6,411678.05,592302.65,2023-02-02-093117
20afd7ab-5c64-4045-99c7-70db26eb34b9,Deming Cannabis Company Llc - Spruce St Retail,1113 W Spruce St,DEMING,NM,88030,32.26651,-107.77133,115855.94,278610.97,394466.91,2023-02-02-093117
