Licensee,Address,City,State,Zip,Lat,Long,TotalMedicalSales,TotalAdultUseSales,TotalSalesAll,acquired_datestamp
Deming Cannabis Company Llc - Spruce St Retail,1113 W Spruce St,Deming,NM,88030,32.266367,-107.769965,50184.95,98880.42,149065.37,2022-11-03-220052
Desert Flower Llc - Aztec Rd Retail,1308 W Aztec Blvd,Aztec,NM,87410,36.82656,-108.00874,0.0,1462.76,1462.76,2022-11-03-220052
Dispensary Near Me/ Retail Nm47,2384 NM 47,Belen,NM,87002,34.66075,-106.73686,11086.0,20732.5,31818.5,2022-11-03-220052
Distinguished Dispensary Llc - English Rd Retail,4601 English Rd,Farmington,NM,87402,36.77012,-108.14932,17958.94,365747.12,383706.06,2022-11-03-220052
Downtown Dispensary Tucumcari,113 S 2nd St,Tucumcari,NM,88401,35.149432,-103.726257,57691.25,255955.14,313646.39,2022-11-03-220052
Duke City Herbs - Central Ave Retail,4012 Central Ave SE,Albuquerque,NM,87108,35.07902,-106.59929,25.0,184.0,209.0,2022-11-03-220052
Dulce Cannabis,2000 Carlisle Blvd NE Suite B,Albuquerque,NM,87110,35.10123,-106.60386,82550.05,308862.1,391412.15,2022-11-03-220052
"Earl And Tom Llc - Main St, Clovis Retail",106 S Main St,Clovis,NM,88101,34.382582,-103.205293,141305.04,615746.25,757051.29,2022-11-03-220052
Elements Dispensary Llc/ Retail Lomas Blvd Ne,9901 Lomas Blvd NE,Albuquerque,NM,87112,35.0876,-106.53661,1379.3,2756.1,4135.4,2022-11-03-220052
Elevation 6420 Llc - Mechem Dr - Retail,101 Mechem Dr,Ruidoso,NM,88345,33.334636,-105.681501,326930.67,956063.44,1282994.09,2022-11-03-220052
Elevation 6420 Llc - Sudderth Dr - Retail,2553 Sudderth Dr,Ruidoso,NM,88345,33.328558,-105.663388,19147.86,105637.81,124785.67,2022-11-03-220052
Elkhorn Retail Llc/ Retail 98Th St Sw,101 98th St SW,Albuquerque,NM,87121,35.063971,-106.741673,102066.72,158189.47,260256.19,2022-11-03-220052
Elkhorn Retail Llc/ Retail Montgomery Road,9132 Montgomery Road,Albuquerque,NM,87111,35.13036,-106.54066,75615.18,60352.07,135967.25,2022-11-03-220052
Elkhorn Retail Llc/ Retail N Guadalupe,604 N Guadalupe,Santa Fe,NM,87501,35.69513,-105.95089,38455.08,84291.79,122746.87,2022-11-03-220052
Elkhorn Retail Llc/ Retail Paseo Del Pueblo Sur Suite C,925 Paseo Del Pueblo Sur Suite C,Taos,NM,87571,36.38625,-105.58473,44761.01,119911.91,164672.92,2022-11-03-220052
Elkhorn Retail Llc/ Retail Paseo Del Sur Suite A,1033 Paseo Del Sur Suite A,Taos,NM,87571,36.37651,-105.5535,129234.12,148349.31,277583.43,2022-11-03-220052
Elkhorn Retail Llc/ Retail San Pedro Dr Ne,2325 San Pedro Dr NE,Albuquerque,NM,87110,35.10918,-106.577475,81645.76,88025.65,169671.41,2022-11-03-220052
Elkhorn Retail Llc/ Retail South Riverside Drive,423 South Riverside Drive,Espanola,NM,87532,35.993394,-106.067986,99654.75,119638.95,219293.7,2022-11-03-220052
Enchanted Botanicals Llc - Central Ave Retail,3417 Central Avenue NE,Albuquerque,NM,87106,35.081436,-106.626727,653.23,1622.99,2276.21,2022-11-03-220052
Enchanted Botanicals Llc - Menaul Blvd Retail,5737 Menaul Blvd NE,Albuquerque,NM,87110,35.108845,-106.531508,282221.78,574706.5,856928.25,2022-11-03-220052
Enchanted Life Nm - Louisiana Retail,400 Louisiana SE,Albuquerque,NM,87108,35.072436,-106.568382,9802.48,18428.58,28231.05,2022-11-03-220052
Enchanted Strains Llc - 7Th St Retail,2300 7th St,Clovis,NM,88101,34.404591,-103.244803,23654.06,85000.24,108654.31,2022-11-03-220052
Endo Llc - Retail,2903 Agua Fria St,Santa Fe,NM,87507,35.670416,-105.984595,168708.42,327640.21,496348.63,2022-11-03-220052
Es Holdings Llc - Central Retail,8508 Central Ave SE,Albuquerque,NM,87108,35.079398,-106.601646,91856.06,195659.79,287515.85,2022-11-03-220052
Everest Apothecary,1240 S Valley Dr Ste D,Las Cruces,NM,88005,32.298116,-106.789104,129163.74,276119.95,405283.69,2022-11-03-220052
Everest Apothecary,3963 Cerrillos Rd Ste B,Santa Fe,NM,87507,35.620423,-106.028899,205467.29,587814.5,793281.79,2022-11-03-220052
Everest Apothecary,1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,31.796496,-106.579989,172990.8,2025339.68,2198330.48,2022-11-03-220052
Everest Apothecary,202 N State St,Texico,NM,88135,34.39003,-103.04489,752.69,1778.7,2531.39,2022-11-03-220052
Everest Apothecary,6010 Coors Blvd Ste 3,Albuquerque,NM,87120,35.080009,-106.710619,303832.68,769863.71,1073696.39,2022-11-03-220052
Everest Apothecary - Albuquerque Dispensary,"10660 Unser Blvd., NW",Albuquerque,NM,87114,35.076944,-106.722994,592408.39,1005889.01,1598297.4,2022-11-03-220052
Everest Apothecary - Dispensary,9237 4th St. NW,Albuquerque,NM,87114,35.13928,-106.641083,468031.44,760007.57,1228039.01,2022-11-03-220052
Everest Apothecary - Las Cruces Dispensary,3841 East Lohman Ave,Las Cruces,NM,88011,32.316103,-106.743652,494882.28,1016473.35,1511355.63,2022-11-03-220052
Everest Apothecary - Los Lunas Dispensary,"1651 Main Street, Suite E",Los Lunas,NM,87031,34.804828,-106.705262,589864.69,970273.27,1560137.96,2022-11-03-220052
Everest Apothecary - Retail,5809 Juan Tabo,Albuquerque,NM,87111,35.136266,-106.515627,440925.59,780865.42,1221791.01,2022-11-03-220052
Everest Apothecary Dispensary,"2201 Louisiana, Suite E",Albuquerque,NM,87110,35.10412,-106.56938,621179.61,984741.27,1605920.88,2022-11-03-220052
Everest Apothecary- Albuquerque Dispensary,"4201 Central Avenue NW, Suite B-6",Albuquerque,NM,87105,35.083574,-106.694604,501778.22,683820.71,1185598.93,2022-11-03-220052
Factory Direct Pipes Rec - 7Th St Retail,321 W 7th St Ste B,Clovis,NM,88101,34.404591,-103.244803,1426.35,73479.16,74905.51,2022-11-03-220052
